题号,题干,A,B,C,D,E,答案,难度,题型
643,“登录”通常被视为一个独立的、有价值的用例。,正确,错误,,,,B,UML,判断题
644,“删除用户信息”、“修改用户信息”、“增加用户信息”是三个粒度合适的用例。,正确,错误,,,,B,UML,判断题
645,面向对象方法比结构化方法更稳定，因为功能易变而对象相对稳定。,正确,错误,,,,A,面向对象方法,判断题
646,模块化可以提高软件的可维护性。,正确,错误,,,,A,结构化设计,判断题
647,耦合程度越高，模块独立性越强。,正确,错误,,,,B,结构化设计,判断题
648,内聚程度越高，模块独立性越强。,正确,错误,,,,A,结构化设计,判断题
649,抽象是逐步求精的逆过程。,正确,错误,,,,B,结构化设计,判断题
650,信息隐藏意味着模块的所有信息都应该隐藏。,正确,错误,,,,B,结构化设计,判断题
651,变换型数据流图没有事务中心。,正确,错误,,,,A,结构化设计,判断题
652,在软件结构图中，循环调用用箭头表示。,正确,错误,,,,B,结构化设计,判断题
653,数据库的逻辑结构设计包括ER图绘制。,正确,错误,,,,B,结构化设计,判断题
654,接口设计只包括人机界面设计。,正确,错误,,,,B,结构化设计,判断题
655,过程设计主要确定模块之间的调用关系。,正确,错误,,,,B,结构化设计,判断题
656,用例图主要用于描述系统的动态行为。,正确,错误,,,,B,UML,判断题
657,参与者只能是使用系统的人。,正确,错误,,,,B,UML,判断题
658,包含关系表示基础用例可以使用扩展用例的行为。,正确,错误,,,,B,UML,判断题
659,类图显示了系统的静态结构。,正确,错误,,,,A,UML,判断题
660,用例文档中的前置条件必须是系统能检测到的。,正确,错误,,,,A,UML,判断题
661,数据流图中可以表示控制的逻辑流程。,正确,错误,,,,B,结构化分析,判断题
662,E-R图中可以表示实体的操作和方法。,正确,错误,,,,B,结构化分析,判断题
663,数据字典是结构化分析方法中所有模型的核心。,正确,错误,,,,A,结构化分析,判断题
664,在数据流图中，一个处理可以没有输入数据流。,正确,错误,,,,B,结构化分析,判断题
665,状态转换图用于描述系统对事件的响应行为。,正确,错误,,,,A,结构化分析,判断题
666,在E-R图中，联系也可以具有属性。,正确,错误,,,,A,结构化分析,判断题
667,数据流图的父图与子图必须保持数据流数量一致。,正确,错误,,,,B,结构化分析,判断题
668,判定表适用于描述复杂的条件组合与动作之间的关系。,正确,错误,,,,A,结构化分析,判断题
669,在数据流图中，数据存储可以位于系统外部。,正确,错误,,,,B,结构化分析,判断题
670,结构化分析方法适用于所有类型的软件系统开发。,正确,错误,,,,B,结构化分析,判断题
671,模块的规模越大越好，因为模块数量少了，接口成本就低。,正确,错误,,,,B,结构化设计,判断题
672,内容耦合是所有耦合类型中耦合度最低的一种。,正确,错误,,,,B,结构化设计,判断题
673,功能内聚是所有内聚类型中内聚度最高的一种。,正确,错误,,,,A,结构化设计,判断题
674,详细设计阶段的主要任务是进行体系结构设计。,正确,错误,,,,B,结构化设计,判断题
675,变换分析方法适用于事务型数据流图。,正确,错误,,,,B,结构化设计,判断题
676,数据库的逻辑结构设计是将E-R图转换为具体数据库管理系统支持的关系模式。,正确,错误,,,,A,结构化设计,判断题
677,扁平化设计风格强调使用高光、阴影和渐变来模拟真实世界的物体。,正确,错误,,,,B,结构化设计,判断题
678,过程设计语言（PDL）就是一种高级程序设计语言。,正确,错误,,,,B,结构化分析,判断题
679,一个模块内部各个功能部分只是因为逻辑上相似而被放在一起，这属于逻辑内聚。,正确,错误,,,,A,结构化设计,判断题
680,交互设计的一致性原则仅指界面上颜色和字体的一致。,正确,错误,,,,B,结构化设计,判断题
681,在数据流图中，数据流可以从一个外部实体直接流向另一个外部实体。,正确,错误,,,,B,结构化分析,判断题
682,数据字典是结构化分析模型的核心。,正确,错误,,,,A,结构化分析,判断题
683,E-R图是用来描述系统功能的。,正确,错误,,,,B,结构化分析,判断题
684,在绘制分层DFD时，任何一个加工都可以无限地分解下去。,正确,错误,,,,B,结构化分析,判断题
685,状态转换图描述的是系统中数据的流动情况。,正确,错误,,,,B,结构化分析,判断题
686,一个DFD中的加工（处理）可以只有输入，没有输出。,正确,错误,,,,B,结构化分析,判断题
687,结构化分析方法只适用于小型项目的分析。,正确,错误,,,,B,结构化分析,判断题
688,在E-R图中，一个实体可以没有任何属性。,正确,错误,,,,B,结构化分析,判断题
689,判定表和判定树可以互相转换。,正确,错误,,,,A,结构化分析,判断题
690,加工规格说明需要详细描述如何用具体的编程语言来实现算法。,正确,错误,,,,B,结构化分析,判断题
691,可行性研究只需要关注技术是否实现，无需考虑经济因素。,正确,错误,,,,B,可行性分析,判断题
692,货币的时间价值意味着现在的钱比未来的钱更值钱。,正确,错误,,,,A,可行性分析,判断题
693,投资回收期越短，项目越值得开发。,正确,错误,,,,A,可行性分析,判断题
694,需求分析只关注功能需求，非功能需求不重要。,正确,错误,,,,B,需求分析,判断题
695,用户需求可以直接转换为系统需求，无需进一步分析。,正确,错误,,,,B,需求分析,判断题
696,社会可行性分析主要考虑系统是否满足法律法规和合同要求。,正确,错误,,,,A,可行性分析,判断题
697,需求验证的目的是确保需求文档的格式美观。,正确,错误,,,,B,需求分析,判断题
698,需求管理包括变更控制、版本控制和需求跟踪。,正确,错误,,,,A,需求分析,判断题
699,操作可行性研究关注系统在实际使用环境中的接受度和适应性。,正确,错误,,,,A,可行性分析,判断题
700,纯收入为零时，项目一定不值得开发。,正确,错误,,,,B,可行性分析,判断题
701,用户需求和系统需求是同一回事，只是说法不同。,正确,错误,,,,B,需求分析,判断题
702,投资回收期越短，项目就越值得投资开发。,正确,错误,,,,A,可行性分析,判断题
703,一旦需求确定并写入文档，就不应该再发生任何变更。,正确,错误,,,,B,需求分析,判断题
704,可行性分析只需要在项目启动前做一次即可。,正确,错误,,,,A,可行性分析,判断题
705,所有的需求都同等重要，没有优先级的区别。,正确,错误,,,,B,需求分析,判断题
706,需求获取就是把用户说的话全部记录下来。,正确,错误,,,,B,需求分析,判断题
707,需求分析是确定系统应该具备的功能，是其他所有工作的基础。,正确,错误,,,,A,需求分析,判断题
708,技术可行性差的项目，只要经济上非常可行，就应该立即开发。,正确,错误,,,,B,可行性分析,判断题
709,需求规格说明书只需要开发人员能看懂即可。,正确,错误,,,,B,需求分析,判断题
710,分析竞争对手的产品是一种有效的需求获取手段。,正确,错误,,,,A,需求分析,判断题
711,软件工程是为了解决软件危机而提出的。,正确,错误,,,,A,软件工程概述,判断题
712,瀑布模型适用于需求经常变化的项目。,正确,错误,,,,B,软件过程,判断题
713,敏捷开发强调个体和交互胜过过程和工具。,正确,错误,,,,A,软件过程,判断题
714,软件维护不属于软件生命周期的一部分。,正确,错误,,,,B,软件过程,判断题
715,快速原型模型适用于大型软件系统开发。,正确,错误,,,,B,软件过程,判断题
716,螺旋模型包含风险分析活动。,正确,错误,,,,A,软件过程,判断题
717,软件工程只关注技术问题，不关注管理问题。,正确,错误,,,,B,软件工程概述,判断题
718,Scrum中的每日站会通常不超过15分钟。,正确,错误,,,,A,软件过程,判断题
719,软件配置管理不属于软件工程知识体系。,正确,错误,,,,B,软件工程概述,判断题
720,面向对象方法主要使用结构化编程技术。,正确,错误,,,,B,面向对象方法,判断题
721,软件工程的目标仅仅是编写出能够运行的程序。,正确,错误,,,,B,软件工程概述,判断题
722,瀑布模型是“文档驱动”的。,正确,错误,,,,A,软件过程,判断题
723,敏捷开发意味着不需要任何计划和文档。,正确,错误,,,,B,软件过程,判断题
724,螺旋模型结合了瀑布模型和快速原型模型的特点。,正确,错误,,,,A,软件过程,判断题
725,软件一旦开发完成并交付，就不再需要任何工作了。,正确,错误,,,,B,软件工程概述,判断题
726,增量模型适合于需求在项目开始时就能完全确定的情况。,正确,错误,,,,B,软件过程,判断题
727,在Scrum中，产品订单（Product Backlog）一旦制定就不能再更改。,正确,错误,,,,B,软件过程,判断题
728,软件的复杂性是导致软件危机的原因之一。,正确,错误,,,,A,软件工程概述,判断题
729,任何规模的软件项目都最适合采用瀑布模型进行开发。,正确,错误,,,,B,软件过程,判断题
730,每日站会的主要目的是解决复杂的技术难题。,正确,错误,,,,B,软件过程,判断题
731,状态图和活动图都属于UML动态建模的范畴。,正确,错误,,,,A,UML,判断题
732,在类图中，聚合关系用带实心菱形的直线表示。,正确,错误,,,,B,UML,判断题
733,顺序图和通信图包含相同的信息，只是表达方式不同。,正确,错误,,,,A,UML,判断题
734,在部署图中，结点之间的关联关系使用虚线表示。,正确,错误,,,,B,UML,判断题
735,活动图可以描述系统在执行某一用例时的具体步骤。,正确,错误,,,,A,UML,判断题
736,黑盒测试关心被测程序的内部逻辑结构。,正确,错误,,,,B,软件测试,判断题
737,单元测试通常采用黑盒测试方法。,正确,错误,,,,B,软件测试,判断题
738,在测试流程中，编写测试报告是执行测试之前的步骤。,正确,错误,,,,B,软件测试,判断题
739,100%的判定覆盖一定能保证100%的语句覆盖。,正确,错误,,,,A,软件测试,判断题
740,为了保证测试的客观性，开发工作和测试工作最好由同一组人完成。,正确,错误,,,,B,软件测试,判断题
741,边界值分析法只测试边界上的点。,正确,错误,,,,B,软件测试,判断题
742,正交实验法能够覆盖所有可能的输入组合。,正确,错误,,,,B,软件测试,判断题
743,路径覆盖是一种非常强大的白盒测试方法，但在实践中可能因为路径数量巨大而难以完全实现。,正确,错误,,,,A,软件测试,判断题
744,在设计测试用例时，只需要考虑合法的输入情况。,正确,错误,,,,B,软件测试,判断题
745,W模型是对V模型的改进，它强调了测试与开发的并行性。,正确,错误,,,,A,软件测试,判断题
746,软件测试可以证明软件完全没有缺陷。,正确,错误,,,,B,软件测试,判断题
747,黑盒测试不需要了解程序的内部结构。,正确,错误,,,,A,软件测试,判断题
748,单元测试通常由测试人员执行。,正确,错误,,,,B,软件测试,判断题
749,边界值分析应该测试正好等于边界、刚刚大于边界和刚刚小于边界的值。,正确,错误,,,,A,软件测试,判断题
750,回归测试只需要测试被修改的代码部分。,正确,错误,,,,B,软件测试,判断题
751,在状态图中，一个状态图可以有多个初始状态。,正确,错误,,,,B,UML,判断题
752,包图用于描述系统的硬件配置情况。,正确,错误,,,,B,UML,判断题
753,在类图中，依赖关系比关联关系更强。,正确,错误,,,,B,UML,判断题
754,组件图中的组件表示软件系统的逻辑单元。,正确,错误,,,,B,UML,判断题
755,对象图是类图在某一时刻的一个实例。,正确,错误,,,,A,UML,判断题
756,组件图描述的是系统的逻辑结构。,正确,错误,,,,B,UML,判断题
757,在聚合关系中，部分的生命周期依赖于整体。,正确,错误,,,,B,UML,判断题
758,活动图就是传统的程序流程图。,正确,错误,,,,B,UML,判断题
759,顺序图和通信图是同构的，可以相互转换。,正确,错误,,,,A,UML,判断题
760,一个类图中只能有一个类。,正确,错误,,,,B,UML,判断题
761,包图中可以包含其他包。,正确,错误,,,,A,UML,判断题
762,部署图中的节点代表软件组件。,正确,错误,,,,B,UML,判断题
763,状态图可以描述多个对象之间的交互。,正确,错误,,,,B,UML,判断题
764,在顺序图中，生命线表示了对象存在的时间。,正确,错误,,,,A,UML,判断题
765,类图中的多重性`0..1`表示一个对象最多可以关联一个另一个类的对象。,正确,错误,,,,A,UML,判断题
766,验收测试通常在软件开发完成后进行。,正确,错误,,,,A,软件测试,判断题
767,白盒测试也称为功能测试。,正确,错误,,,,B,软件测试,判断题
768,等价类划分法要求每个子域两两互不相交。,正确,错误,,,,A,软件测试,判断题
769,条件覆盖一定包含判定覆盖。,正确,错误,,,,B,软件测试,判断题
770,自动化测试可以完全替代手工测试。,正确,错误,,,,B,软件测试,判断题
771,螺旋模型在瀑布模型和增量模型的基础上增加了风险分析。,正确,错误,,,,错,未分类,判断题
772,极限编程属于增量模型。,正确,错误,,,,错,未分类,判断题
773,"软件危机的主要表现是软件需求增加,软件价格上升。",正确,错误,,,,错,未分类,判断题
774,软件工程学科出现的主要原因是软件危机出现,正确,错误,,,,对,软件工程概述,判断题
775,"投资回收期越长,获得利润就越快,项目就越值得开发",正确,错误,,,,错,可行性分析,判断题
10001,1.在哪个过程模型中，开发是逐步进行的，每个阶段都产生可运行的部分系统？ [cite: 8],瀑布模型,增量模型,原型模型,喷泉模型,,B,未分类,单选题
10002,9.在哪个过程模型中，风险分析是显式且持续的活动？ [cite: 32],瀑布模型,螺旋模型,原型模型,增量模型,,B,未分类,单选题
10003,11.敏捷宣言中提到的四个核心价值之一是？ [cite: 38],流程重于个体和交互,工具重于工作软件,详尽的文档重于工作的软件,客户合作重于合同谈判,,D,未分类,单选题
10004,12.面向对象分析中的"协作"是指什么？ [cite: 41],对象之间的通信和配合,类之间的继承关系,对象之间的属性共享,类之间的接口调用,,A,未分类,单选题
10005,"13. 一个程序的控制流图中有8个节点、12条边,在测试用例数最少的情况下,确保程序中每个可执行语句至少执行一次所需测试用例数的上限是 （ ） 。 [cite: 44]",2,4,6,8,,B,未分类,单选题
10006,14.UML类图中，表示类之间整体与部分关系，且部分不能离开整体而单独存在的是？ [cite: 47],聚合,组合,关联,泛化,,B,未分类,单选题
10007,8. 软件交付之后，由于软硬件环境发生变化而对软件进行修改的行为属于（ ）维护。 [cite: 29],改善性,适应性,预防性,改正性,,B,未分类,单选题
10008,10.以下哪一项不是软件危机的表现形式( ) [cite: 35],成本高,生产率低,技术发展快,质量得不到保证,,C,未分类,单选题
10009,15. 统一过程模型的四个阶段中，在（）阶段进行需求分析和架构演进。 [cite: 50],移交,精化,构建,起始,,B,未分类,单选题
10010,10.面向对象分析中的"协作"是指什么？,对象之间的通信和配合,类之间的继承关系,对象之间的属性共享,类之间的接口调用,,A,未分类,单选题
10011,7.敏捷宣言中提到的四个核心价值之一是？,流程重于个体和交互,工具重于工作软件,详尽的文档重于工作的软件,客户合作重于合同谈判,,D,未分类,单选题
10012,13.开发软件所需高成本和产品的低质量之间有着尖锐的矛盾，这种现象称做（ ）。,软件工程,软件周期,软件危机,软件产生,,C,未分类,单选题
10013,14.软件工程是采用（　　）的概念、原理、技术方法指导计算机程序设计的工程学科。,工程,系统工程,体系结构,结构化设计,,B,未分类,单选题
10014,15.下列哪项不是黑盒测试的技术？,边界值分析,等价类划分,语句覆盖,因果图,,C,未分类,单选题
10015,11.敏捷开发中的"持续集成"意味着？,只在项目结束时进行集成测试,定期进行代码集成和测试，确保系统稳定性,每个开发人员独立工作，最后再进行集成,不需要进行集成测试,,B,未分类,单选题
10016,6. 统一过程模型的四个阶段中，在（）阶段进行需求分析和架构演进。,移交,精化,构建,起始,,B,未分类,单选题
10017,5.在UML类图中，一个类可以包含另一个类的实例，这种关系被称为？,继承,聚合,组合,依赖,,C,未分类,单选题
10018,4. 为了提高模块的独立性，模块之间最好是（）,公共耦合,控制耦合,数据耦合,特征耦合,,C,未分类,单选题
10019,3. 研究软硬件资源的有效性是进行(）研究的一方面。,技术可行性,经济可行性,社会可行性,操作可行性,,A,未分类,单选题
10020,2.在用例建模中，如何表示一个用例是另一个用例的可选扩展？,使用带有箭头的实线，并在箭头上标注《extend》,"使用带有空心箭头的虚线，并在箭头上标注《extend》,指向扩展用例","使用带有空心箭头的虚线，并在箭头上标注《extend》,指向基用例",使用不带箭头的实线，并在线上标注《extend》,,C,未分类,单选题
10021,1.在哪个过程模型中，开发是逐步进行的，每个阶段都产生可运行的部分系统？,瀑布模型,增量模型,原型模型,喷泉模型,,B,未分类,单选题
10022,13.开发软件所需高成本和产品的低质量之间有着尖锐的矛盾，这种现象称做（ ）。,软件工程,软件周期,软件危机,软件产生,,C,未分类,单选题
10023,14.软件工程是采用（　　）的概念、原理、技术方法指导计算机程序设计的工程学科。,工程,系统工程,体系结构,结构化设计,,B,未分类,单选题
10024,15.下列哪项不是黑盒测试的技术？,边界值分析,等价类划分,语句覆盖,因果图,,C,未分类,单选题
10025,6. 为了提高模块的独立性，模块之间最好是（） [cite: 23],公共耦合,控制耦合,数据耦合,特征耦合,,C,未分类,单选题
10026,4. 某零件厂商的信息系统中，一个基本加工根据客户类型、订单金额、客户信用等信息的不同采取不同的行为，此时最适宜采用( )来描述该加工规格说明 [cite: 17],自然语言,流程图,判定表,某程序设计语言,,C,未分类,单选题
10027,7.敏捷开发中的"站立会议"通常持续多长时间？ [cite: 26],几分钟到十几分钟,半小时到一小时,一小时到两小时,整天,,A,未分类,单选题
10028,5. 研究软硬件资源的有效性是进行(）研究的一方面。 [cite: 20],技术可行性,经济可行性,社会可行性,操作可行性,,A,未分类,单选题
10029,1.在哪个过程模型中，开发是逐步进行的，每个阶段都产生可运行的部分系统？ [cite: 8],瀑布模型,增量模型,原型模型,喷泉模型,,B,未分类,单选题
10030,3.在用例建模中，如何表示一个用例是另一个用例的可选扩展？ [cite: 14],使用带有箭头的实线，并在箭头上标注《extend》,"使用带有空心箭头的虚线，并在箭头上标注《extend》,指向扩展用例","使用带有空心箭头的虚线，并在箭头上标注《extend》,指向基用例",使用不带箭头的实线，并在线上标注《extend》,,C,未分类,单选题
10031,详细设计的基本任务是确定每个模块的（ ）设计。,功能,调用关系,输入输出数据,算法,,D,结构化设计,单选题

10033,下列几种耦合中，（ ）的耦合性最强。,公共耦合,数据耦合,控制耦合,内容耦合,,D,结构化设计,单选题
10034,需求工程的主要目的是( ),系统开发的具体方案,进一步确定用户的需求,解决系统是 "做什么的问题",解决系统是 "如何做的问题",,C,需求分析,单选题
10035,面向数据流的软件设计方法可将（）映射成软件结构,控制结构,模块,数据流,事物流,,C,结构化设计,单选题
10036,汽车有一个发动机，汽车和发动机之间的关系是（）关系,泛化,关联,聚合,组合,,D,UML,单选题
10037,UML是（）的缩写,Unified Module Language,Universal Module Language,Universal Module Locator,Unified Modeling Language,,D,UML,单选题
10038,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中错误的是：（ ）,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘车人成功购买单程、单张车票，该流程对应的是基本事件流,,A,软件测试,单选题
10039,软件工程的三要素是（）。,技术、方法和工具,方法、对象和类,方法、工具和过程,过程、模型、方法,,C,软件工程概述,单选题
10040,包含风险分析的软件工程模型是（）,螺旋模型,瀑布模型,增量模型,喷泉模型,,A,软件过程,单选题
10041,结构化分析方法中，数据流图中的元素在（ ）中进行定义。,加工逻辑,实体联系图,流程图,数据字典,,D,结构化设计,单选题
10042,耦合是模块之间的相对独立性（互相连接点紧密程度）的度量。耦合程度不取决于（   ）,调用模块的方式,各个模块之间接口的复杂程度,通过接口的信息类型,模块提供的功能数,,D,软件过程,单选题
10043,软件质量属性中，（ ）是指软件每分钟可以处理多少个请求。,响应时间,吞吐量,负载,容量,,B,需求分析,单选题
10044,某企业信息管理系统中，采购子系统根据材料的价格、数量等信息计算采购的金额，并给财务子系统传递采购金额、收款方和采购日期等信息，则这两个子系统之间的耦合类型属于（）耦合,数据,标记,控制,外部,,A,结构化设计,单选题
10045,在需求分析之前有必要进行（）工作。,程序设计,可行性研究,E-R分析,行为建模,,B,需求分析,单选题
10046,结构化分析方法的基本思想是（）。,自底向上逐步分解,自顶向下逐步分解,自底向上逐步抽象,自顶向下逐步抽象,,B,结构化分析,单选题
10047,在面向数据流的软件设计方法中，一般将信息流分为（）。,数据流和控制流,变换流和控制流,事务流和控制流,变换流和事务流,,D,结构化设计,单选题
10048,在UML用例图中，参与者表示 （     ）。,人、硬件或其他系统可以扮演的角色,可以完成多种动作的相同用户,不管角色的实际物理用户,带接口的物理系统或者硬件设计,,A,UM,单选题
10049,UML图中，对新开发系统的需求进行建模，规划开发什么功能或测试用例，采用（）最适合。,类图,对象图,用例图,交互图,,C,UM,单选题
10050,UML图中，对展示交付系统的软件组件和硬件之间的关系的图是（ ）。,类图,部署图,组件图,网络图,,B,UML,单选题
10051,面向对象设计中，基于父类创建的子类具有父类的所有特性（属性和方法），这一特点称为类的（）。,多态性,封装性,继承性,重用性,,C,面向对象方法,单选题
10052,以下关于UML状态图中转换（transition）的叙述中，不正确的是（ ）。,活动可以在转换时执行也可以在状态内执行,监护条件只有在相应的事件发生时才进行检查,一个转换可以有事件触发器、监护条件和一个状态,事件触发转换,,C,UML,单选题
10053,白盒测试法是根据程序的（）来设计测试用例的方法。,输出数据,内部逻辑,功能,输入数据,,B,软件测试,单选题
10054,软件开发过程中，需求分析阶段的输出不包括（  ）。,流图,实体联系图,数据字典,软件体系结构图,,D,需求分析,单选题
10055,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中错误的是（     ）。,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘-人成功购买单程、单张车票，该流程对应的是基本事件流,,B,软件测试,单选题
10056,结构化分析方法中，数据流图中的元素在（ ）中进行定义。,加工逻辑,实体联系图,流程图,数据字典,,D,结构化分析,单选题
10057,耦合是模块之间的相对独立性（互相连接点紧密程度）的度量。耦合程度不取决于（  ）,调用模块的方式,各个模块之间接口的复杂程度,通过接口的信息类型,模块提供的功能数,,D,结构化设计,单选题
10058,软件质量属性中，（ ）是指软件每分钟可以处理多少个请求。,响应时间,吞吐量,负载,容量,,B,需求分析,单选题
10059,某企业信息管理系统中，采购子系统根据材料的价格、数量等信息计算采购的金额，并给财务子系统传递采购金额、收款方和采购日期等信息，则这两个子系统之间的耦合类型属于（）耦合,数据,标记,控制,外部,,A,结构化设计,单选题
10060,产生软件危机的主要原因是（）。,软件工具落后,软件生产能力不足,实行严格的产品控制,软件本身的特点及开发方法,,D,软件工程概述,单选题
10061,快速原型模型的主要特点之一是（　　）,开发完毕才见到产品,及早提供工作软件,及早提供全部完整软件,开发完毕才见到工作软件,,B,软件过程,单选题
10062,下列属于软件的特点的是（ ）。,软件是一种逻辑实体，具有抽象性,软件在使用过程中没有磨损、老化,软件不同于一般程序，它的一个显著特点是规模庞大，复杂程度高,以上都正确,,D,软件工程概述,单选题
10063,需求分析阶段的工作成果是( )。,数据流程图案,数据字典,判定表,需求规格说明书,,D,需求分析,单选题
10064,为了提高模块的独立性，模块内部最好是（）。,逻辑内聚,时间内聚,功能内聚,通信内聚,,C,结构化设计,单选题
10065,需求工程的主要目的是( ),系统开发的具体方案,进一步确定用户的需求,解决系统是 "做什么的问题",解决系统是 "如何做的问题",,C,需求分析,单选题
10066,面向数据流的软件设计方法可将（）映射成软件结构,控制结构,模块,数据流,事物流,,C,结构化设计,单选题
10067,软件从一个计算机系统或环境转移到另一个计算系统或环境的容易程度。这个描述是指软件的（ ）。,可理解性,可靠性,可移植性,兼容性,,C,软件工程概述,单选题
10068,下列系统设计工具中，（　　）不属于详细设计工具。,N—S图,数据流图,程序流程图,PAD,,B,结构化设计,单选题
10069,用例图中用例之间存在各种关系，但不包括 （　　）,包含,关联,泛化,扩展,,B,UM,单选题
10070,状态图包括（ ）,类的状态,触发类的状态转换的事件,状态之间的转换,所有以上选项,,D,UM,单选题
10071,软件危机具有下列表现（ ）。1、对软件开发成本估计不准确 2、软件产品的质量往往靠不住 3、软件常常不可维护 4、软件成本逐年上升,1、2和3,1、3 和4,2、3和4,以上都正确,,D,软件工程概述,单选题
10072,需求分析阶段最重要的技术文档是（ ）。,设计说明书,需求规格说明书,可行性分析报告,用户手册,,B,需求分析,单选题
10073,增量模型本质上是一种（）。,线性顺序模型,整体开发模型,非整体开发模型,螺旋模型,,C,软件过程,单选题
10074,结构化分析方法的基本思想是（）。,自底向上逐步分解,自顶向下逐步分解,自底向上逐步抽象,自顶向下逐步抽象,,B,结构化分析,单选题
10075,进行需求分析可使用多种工具，但（）是不适用的。,数据流图,PAD图,状态转换图,数据词典,,B,结构化分析,单选题
10076,面向数据流的软件设计方法可将（）映射成软件结构。,控制结构,模块,数据流,事物流,,C,结构化设计,单选题
10077,软件开发过程中，需求分析阶段的输出不包括（ ）。,流图,实体联系图,数据字典,软件体系结构图,,D,结构化分析,单选题
10078,在UML用例图中，参与者表示（   ）。,人、硬件或其他系统可以扮演的角色,可以完成多种动作的相同用户,不管角色的实际物理用户,带接口的物理系统或者硬件设计,,A,UM,单选题
10079,UML图中，对新开发系统的需求进行建模，规划开发什么功能或测试用例，采用（ ）最适合。,类图,对象图,用例图,交互图,,C,UM,单选题
10080,UML图中，对展示交付系统的软件组件和硬件之间的关系的图是（ ）。,类图,部署图,组件图,网络图,,B,UM,单选题
10081,以下关于UML状态图中转换（transition）的叙述中，不正确的是（ ）。,活动可以在转换时执行也可以在状态内执行,监护条件只有在相应的事件发生时才进行检查,一个转换可以有事件触发器、监护条件和一个状态,事件触发转换,,C,UM,单选题
10082,白盒测试法是根据程序的（）来 design 测试用例的方法。,输出数据,内部逻辑,功能,输入数据,,B,软件测试,单选题
10083,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中错误的是（）。,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘车人成功购买单程、单张车票，该流程对应的是基本事件流,,B,软件测试,单选题
10084,面向对象设计中，基于父类创建的子类具有父类的所有特性（属性和方法），这一特点称为类的（）。,多态性,封装性,继承性,重用性,,C,面向对象方法,单选题
10085,在SD方法中全面指导模块划分的最重要的原则是（）,程序模块化,模块高内聚,模块低耦合,模块独立性,,D,结构化设计,单选题
10086,准确地解决"软件系统必须做什么"是（   ）阶段的任务。,可行性研究,详细设计,需求分析,编码.,,C,需求分析,单选题
10087,在销售管理系统需求文档中出现下列描述，属于功能需求范畴的是（）,系统应能产生月销售报表,系统应在5分钟内计算出给定季度的总销售税,对要构建的账户接收系统，必须为月财务状况系统提供更新信息,任取1秒钟，一个特定应用所消耗的可用计算能力平均不超过50%,,A,需求分析,单选题
10088,瀑布模型的存在问题是（    ）,用户容易参与开发,缺乏灵活性,用户与开发者易沟通,适用可变需求,,B,软件过程,单选题
10089,UML图中，对新开发系统的需求进行建模，规划开发什么功能或测试用例，采用 （   ） 最适合。,类图,对象图,用例图,交互图,,C,UM,单选题
10090,UML图中，对展示交付系统的软件组件和硬件之间的关系的图是 （  ）,类图,部署图,组件图,网络图,,B,UM,单选题
10091,白盒测试法是根据程序的（）来设计测试用例的方法。,输出数据,内部逻辑,功能,输入数据,,B,软件测试,单选题
10092,软件工程的三要素是（）。,技术、方法和工具,方法、对象和类,方法、工具和过程,过程、模型、方法,,C,软件工程概述,单选题
10093,若一个学生可以在一所或者多所学校注册学习，那么这种关联关系称为 （）。,依赖,泛化,组合,聚合,,D,UM,单选题
10094,在结构化分析方法的基本术语中，数据流的起点称为（   ）。,数据,数据存储,加工,数据源,,D,结构化分析,单选题
10095,软件质量属性中（   ）是指软件每分钟可以处理多少个请求。,响应时间,吞吐量,负载,容量,,B,需求分析,单选题
10096,一组模块共同引用一个全局数据项，则该组模块间的耦合类型是（）,数据耦合,标记耦合,控制耦合,公共耦合,,D,结构化设计,单选题
10097,包含风险分析的软件工程模型是（）,螺旋模型,瀑布模型,增量模型,喷泉模型,,A,软件过程,单选题
10098,在常见的软件开发模型中，能体现软件创建所固有的选代和无间隙特征的是（  ）,喷泉模型,螺旋模型,增量模型,瀑布模型,,A,软件过程,单选题
10099,在销售管理系统需求文档中出现下列描述，属于功能需求范畴的是（）,系统应能产生月销售报表,系统应在5分钟内计算出给定季度的总销售税,对要构建的账户接收系统，必须为月财务状况系统提供更新信息,任取1秒钟，一个特定应用所消耗的可用计算能力平均不超过50%,,A,需求分析,单选题
